multiprune,headstr,pluslayer,plushead,acc1
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,0,5,78.87
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,0,6,79.022
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,0,9,78.934
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,0,10,78.942
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,0,11,78.896
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,1,0,78.958
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,1,2,79.002
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,1,5,78.664
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,1,6,79.046
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,1,7,78.89
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,1,8,78.802
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,1,9,78.894
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,1,10,78.74
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,2,1,78.796
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,2,2,78.588
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,2,4,78.942
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,2,6,78.938
